book_id,user_id,rating
2,12874,4
4,12874,5
5,12874,4
7,12874,4
8,12874,4
9,12874,5
10,12874,4
11,12874,5
13,12874,4
14,12874,4
15,12874,4
18,12874,4
21,12874,4
22,12874,5
23,12874,4
24,12874,4
26,12874,5
29,12874,3
32,12874,2
33,12874,4
37,12874,4
42,12874,4
43,12874,4
44,12874,4
48,12874,3
50,12874,4
55,12874,3
56,12874,3
57,12874,5
58,12874,4
59,12874,4
63,12874,3
66,12874,5
67,12874,4
71,12874,2
75,12874,5
76,12874,2
79,12874,3
80,12874,4
81,12874,4
83,12874,3
85,12874,4
93,12874,4
101,12874,4
102,12874,2
107,12874,4
109,12874,4
111,12874,4
113,12874,3
115,12874,4
116,12874,4
117,12874,4
118,12874,4
121,12874,3
125,12874,2
130,12874,4
131,12874,2
133,12874,4
138,12874,3
142,12874,5
145,12874,3
150,12874,3
154,12874,2
155,12874,4
157,12874,4
160,12874,4
161,12874,4
162,12874,2
171,12874,3
172,12874,4
177,12874,4
178,12874,3
179,12874,3
189,12874,4
204,12874,4
213,12874,3
216,12874,4
219,12874,4
228,12874,4
229,12874,4
230,12874,3
233,12874,2
245,12874,4
248,12874,2
251,12874,4
257,12874,4
260,12874,3
264,12874,3
265,12874,4
278,12874,4
296,12874,4
301,12874,4
306,12874,4
310,12874,4
317,12874,4
321,12874,4
331,12874,5
333,12874,4
339,12874,5
341,12874,3
343,12874,4
344,12874,5
347,12874,4
358,12874,5
364,12874,4
383,12874,4
387,12874,2
396,12874,4
401,12874,2
402,12874,3
407,12874,2
414,12874,3
427,12874,3
444,12874,4
465,12874,4
471,12874,3
479,12874,3
485,12874,3
497,12874,3
498,12874,3
501,12874,3
514,12874,4
531,12874,2
544,12874,4
545,12874,4
560,12874,4
570,12874,3
576,12874,2
579,12874,3
595,12874,3
597,12874,3
601,12874,4
606,12874,3
616,12874,4
621,12874,4
639,12874,4
646,12874,2
650,12874,4
681,12874,5
714,12874,2
715,12874,3
734,12874,4
740,12874,4
773,12874,2
800,12874,4
819,12874,4
824,12874,2
846,12874,4
868,12874,5
872,12874,2
877,12874,4
916,12874,3
934,12874,3
943,12874,3
955,12874,3
959,12874,2
964,12874,4
977,12874,2
984,12874,3
1015,12874,2
1084,12874,3
1099,12874,3
1150,12874,4
1167,12874,2
1186,12874,4
1214,12874,2
1222,12874,4
1280,12874,3
1457,12874,4
1518,12874,3
1534,12874,4
1561,12874,3
1580,12874,3
1681,12874,4
1685,12874,3
1714,12874,3
2002,12874,2
2052,12874,2
2142,12874,3
2236,12874,3
2297,12874,3
2315,12874,4
2336,12874,3
2366,12874,2
2544,12874,2
2763,12874,2
3002,12874,4
3252,12874,4
3364,12874,3
3406,12874,3
4244,12874,3
4330,12874,2
4435,12874,2
4592,12874,3
4793,12874,3
4974,12874,4
4999,12874,2
5437,12874,4
6768,12874,4
8916,12874,2
2,30944,5
4,30944,5
5,30944,4
7,30944,5
8,30944,3
17,30944,5
18,30944,4
19,30944,5
20,30944,5
21,30944,3
23,30944,5
24,30944,3
25,30944,4
26,30944,3
27,30944,2
28,30944,5
29,30944,4
37,30944,5
39,30944,4
41,30944,5
45,30944,4
50,30944,4
53,30944,3
54,30944,5
55,30944,4
59,30944,4
62,30944,5
71,30944,3
79,30944,4
80,30944,3
83,30944,3
84,30944,4
90,30944,4
97,30944,5
102,30944,4
109,30944,5
110,30944,4
122,30944,5
125,30944,4
135,30944,4
138,30944,3
151,30944,5
154,30944,5
155,30944,5
157,30944,5
159,30944,5
160,30944,4
161,30944,5
165,30944,4
167,30944,4
168,30944,5
172,30944,5
173,30944,4
175,30944,5
180,30944,4
189,30944,5
191,30944,5
192,30944,4
209,30944,3
229,30944,4
230,30944,4
232,30944,5
239,30944,4
245,30944,4
276,30944,5
282,30944,4
283,30944,5
288,30944,3
292,30944,5
293,30944,4
301,30944,4
307,30944,4
312,30944,5
314,30944,4
321,30944,4
322,30944,2
330,30944,5
332,30944,5
335,30944,3
337,30944,5
339,30944,4
341,30944,5
345,30944,4
346,30944,3
347,30944,5
353,30944,4
358,30944,4
361,30944,3
362,30944,5
364,30944,4
368,30944,5
375,30944,4
377,30944,3
386,30944,3
389,30944,4
390,30944,3
410,30944,4
427,30944,4
432,30944,5
444,30944,4
447,30944,4
451,30944,5
479,30944,4
480,30944,5
481,30944,5
490,30944,5
498,30944,5
507,30944,5
528,30944,5
530,30944,4
531,30944,5
540,30944,4
542,30944,5
546,30944,4
560,30944,3
576,30944,5
577,30944,3
590,30944,3
599,30944,5
602,30944,5
608,30944,3
611,30944,5
618,30944,5
620,30944,5
641,30944,5
646,30944,4
648,30944,4
651,30944,4
661,30944,5
666,30944,3
681,30944,3
696,30944,3
722,30944,5
730,30944,3
740,30944,4
751,30944,5
755,30944,5
769,30944,4
770,30944,4
778,30944,4
798,30944,5
806,30944,5
824,30944,4
826,30944,4
855,30944,4
898,30944,3
899,30944,4
937,30944,5
953,30944,4
964,30944,5
977,30944,5
980,30944,4
984,30944,5
1038,30944,3
1042,30944,4
1084,30944,3
1086,30944,5
1094,30944,4
1106,30944,4
1167,30944,4
1217,30944,4
1223,30944,5
1280,30944,4
1337,30944,5
1342,30944,5
1367,30944,5
1368,30944,5
1380,30944,5
1391,30944,3
1431,30944,5
1492,30944,4
1521,30944,4
1633,30944,3
1636,30944,4
1653,30944,4
1679,30944,4
1681,30944,3
1695,30944,5
1715,30944,5
1725,30944,4
1797,30944,3
1801,30944,3
1818,30944,3
1889,30944,4
1949,30944,4
2126,30944,4
2142,30944,4
2195,30944,3
2209,30944,5
2269,30944,5
2336,30944,5
3077,30944,5
3220,30944,5
3595,30944,4
3628,30944,5
3636,30944,4
3818,30944,4
3907,30944,4
3934,30944,4
4653,30944,4
1,28158,4
5,28158,4
6,28158,3
8,28158,3
12,28158,3
16,28158,4
17,28158,4
18,28158,5
19,28158,5
20,28158,4
21,28158,4
24,28158,4
25,28158,5
27,28158,4
31,28158,5
32,28158,4
38,28158,5
39,28158,5
41,28158,4
46,28158,4
53,28158,4
55,28158,4
62,28158,3
65,28158,3
69,28158,3
70,28158,4
86,28158,4
87,28158,5
93,28158,3
98,28158,4
110,28158,5
116,28158,4
117,28158,3
123,28158,4
135,28158,5
137,28158,3
140,28158,5
151,28158,4
155,28158,5
158,28158,4
159,28158,3
160,28158,4
161,28158,5
162,28158,3
165,28158,5
168,28158,5
172,28158,4
175,28158,3
177,28158,2
188,28158,3
189,28158,5
192,28158,5
199,28158,4
214,28158,3
216,28158,5
223,28158,4
225,28158,4
227,28158,4
232,28158,3
251,28158,2
255,28158,3
274,28158,5
276,28158,5
281,28158,5
284,28158,4
288,28158,4
289,28158,5
294,28158,4
295,28158,5
298,28158,3
314,28158,4
325,28158,4
330,28158,5
332,28158,4
337,28158,2
343,28158,4
345,28158,4
350,28158,4
362,28158,3
366,28158,5
369,28158,3
371,28158,3
389,28158,4
401,28158,3
432,28158,5
439,28158,3
442,28158,4
447,28158,4
461,28158,3
464,28158,5
480,28158,1
492,28158,3
493,28158,4
515,28158,5
528,28158,5
542,28158,4
559,28158,4
565,28158,5
570,28158,4
575,28158,3
590,28158,5
596,28158,4
602,28158,3
606,28158,3
612,28158,4
633,28158,4
641,28158,5
648,28158,4
699,28158,4
722,28158,4
725,28158,4
746,28158,5
767,28158,4
806,28158,4
809,28158,3
919,28158,3
936,28158,4
949,28158,3
953,28158,5
960,28158,5
963,28158,4
966,28158,5
1023,28158,3
1037,28158,3
1049,28158,3
1053,28158,3
1057,28158,4
1119,28158,3
1150,28158,4
1155,28158,4
1158,28158,4
1175,28158,4
1184,28158,4
1200,28158,4
1223,28158,4
1248,28158,5
1249,28158,3
1254,28158,4
1263,28158,4
1278,28158,4
1301,28158,4
1362,28158,3
1391,28158,4
1407,28158,4
1434,28158,3
1479,28158,4
1525,28158,4
1526,28158,3
1573,28158,4
1643,28158,4
1698,28158,4
1726,28158,4
1733,28158,3
1739,28158,3
1801,28158,4
1902,28158,4
1937,28158,5
2006,28158,4
2007,28158,4
2023,28158,3
2025,28158,4
2089,28158,3
2140,28158,4
2144,28158,4
2195,28158,5
2212,28158,4
2407,28158,3
2448,28158,4
2481,28158,4
2493,28158,3
2518,28158,4
2600,28158,4
2607,28158,4
2631,28158,4
2655,28158,4
2728,28158,4
2871,28158,5
2939,28158,4
2957,28158,5
3054,28158,5
3256,28158,3
3273,28158,4
3367,28158,4
3628,28158,5
3643,28158,4
3725,28158,4
3795,28158,4
3798,28158,5
3945,28158,4
3964,28158,3
4040,28158,4
4603,28158,4
4708,28158,5
5229,28158,3
5254,28158,4
6152,28158,3
6333,28158,5
8294,28158,4
8306,28158,5
1,52036,2
2,52036,3
3,52036,1
4,52036,3
5,52036,4
6,52036,2
7,52036,5
10,52036,4
12,52036,1
13,52036,5
16,52036,2
17,52036,2
18,52036,2
19,52036,5
20,52036,2
21,52036,2
23,52036,2
25,52036,2
27,52036,2
29,52036,5
32,52036,4
34,52036,1
35,52036,3
38,52036,2
39,52036,4
41,52036,1
42,52036,5
43,52036,5
44,52036,3
45,52036,3
47,52036,3
51,52036,1
53,52036,3
54,52036,3
55,52036,5
57,52036,3
58,52036,4
61,52036,2
63,52036,5
65,52036,4
70,52036,4
71,52036,5
72,52036,3
75,52036,1
79,52036,5
80,52036,5
83,52036,4
84,52036,3
93,52036,3
94,52036,5
95,52036,5
97,52036,5
103,52036,5
104,52036,2
109,52036,5
110,52036,5
116,52036,5
121,52036,5
123,52036,3
126,52036,5
130,52036,5
135,52036,4
140,52036,2
147,52036,3
148,52036,3
151,52036,2
157,52036,3
158,52036,3
163,52036,2
166,52036,2
167,52036,3
168,52036,3
170,52036,2
172,52036,5
173,52036,5
175,52036,2
176,52036,3
177,52036,5
180,52036,3
188,52036,4
191,52036,5
192,52036,3
194,52036,5
196,52036,4
197,52036,1
198,52036,3
199,52036,2
202,52036,1
205,52036,3
209,52036,3
213,52036,5
214,52036,2
215,52036,3
218,52036,1
229,52036,5
232,52036,3
243,52036,2
245,52036,3
252,52036,1
257,52036,5
264,52036,5
268,52036,3
272,52036,3
274,52036,3
276,52036,5
283,52036,3
294,52036,2
295,52036,3
298,52036,3
300,52036,4
307,52036,3
322,52036,3
323,52036,3
345,52036,3
349,52036,3
353,52036,5
360,52036,3
365,52036,5
370,52036,2
397,52036,4
401,52036,4
404,52036,2
413,52036,5
424,52036,4
428,52036,2
429,52036,4
447,52036,3
452,52036,2
457,52036,2
478,52036,5
488,52036,4
518,52036,4
529,52036,5
531,52036,5
535,52036,2
560,52036,5
576,52036,3
597,52036,5
599,52036,4
611,52036,4
621,52036,2
651,52036,5
665,52036,3
684,52036,2
701,52036,4
714,52036,5
715,52036,3
739,52036,3
751,52036,5
755,52036,4
762,52036,3
769,52036,5
778,52036,5
817,52036,3
826,52036,4
840,52036,5
894,52036,4
909,52036,2
937,52036,3
964,52036,5
977,52036,5
997,52036,5
1014,52036,5
1015,52036,3
1027,52036,2
1089,52036,4
1167,52036,5
1314,52036,3
1337,52036,4
1342,52036,3
1343,52036,4
1368,52036,3
1380,52036,5
1722,52036,4
1768,52036,4
1924,52036,3
2023,52036,3
2043,52036,3
2086,52036,3
2109,52036,4
2142,52036,5
2271,52036,3
2452,52036,4
2469,52036,3
2470,52036,4
2489,52036,4
2501,52036,3
2554,52036,4
2658,52036,3
2677,52036,3
2881,52036,4
2936,52036,3
2944,52036,3
3200,52036,3
3359,52036,3
3362,52036,3
3628,52036,5
3654,52036,3
3858,52036,3
4,12381,5
5,12381,4
7,12381,5
8,12381,3
10,12381,5
11,12381,4
13,12381,5
14,12381,4
15,12381,5
19,12381,5
22,12381,3
26,12381,2
28,12381,4
32,12381,3
33,12381,3
35,12381,1
36,12381,4
37,12381,3
38,12381,3
42,12381,4
45,12381,3
57,12381,2
58,12381,4
60,12381,4
62,12381,4
63,12381,5
64,12381,3
66,12381,4
67,12381,4
76,12381,4
81,12381,3
83,12381,5
90,12381,3
93,12381,3
95,12381,3
100,12381,5
101,12381,3
103,12381,5
104,12381,4
111,12381,3
113,12381,4
114,12381,3
115,12381,3
116,12381,3
117,12381,4
118,12381,4
119,12381,4
121,12381,3
122,12381,3
124,12381,2
125,12381,4
126,12381,5
129,12381,4
130,12381,4
131,12381,4
133,12381,3
138,12381,4
142,12381,4
144,12381,1
150,12381,2
155,12381,5
161,12381,4
171,12381,4
173,12381,1
177,12381,4
178,12381,4
179,12381,2
180,12381,4
181,12381,3
185,12381,4
186,12381,3
189,12381,5
191,12381,2
194,12381,4
195,12381,4
208,12381,2
211,12381,3
212,12381,3
216,12381,2
219,12381,4
229,12381,4
231,12381,4
233,12381,3
